Time_Frame,TM_Srvc_Type,Time_Frame_Yr,Time_Frame_Mth,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,TM_Bene_Cnt,Tot_Bene_Cnt,TM_Bene_Pct
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Hispanic,All,All,All,All,267,3101,0.0861012577
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,All,White,All,All,All,All,27090,316020,0.0857224226
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,Medicare & Medicaid,All,All,All,All,All,9352,113734,0.0822269506
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alabama,Medicare Only,All,All,All,All,All,26675,314274,0.0848781636
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,Aged,All,All,2960,21911,0.1350919629
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,65-74,All,1763,12407,0.1420972032
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,75-84,All,936,7366,0.1270703231
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,85 and over,All,284,2427,0.1170168933
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,All,3780,26263,0.143928721
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,Rural,1781,12363,0.1440588854
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,All,Urban,1896,13023,0.1455885741
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,All,Less than 65,All,797,4063,0.1961604726
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,Disabled,All,All,759,3772,0.2012195122
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,All,ESRD,All,All,61,580,0.1051724138
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,Female,All,All,All,2202,14455,0.1523348322
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,All,Male,All,All,All,1578,11808,0.1336382114
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,American Indian / Alaska Native,All,All,All,All,548,3961,0.1383489018
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Asian,All,All,All,All,100,942,0.1061571125
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Black/African American,All,All,All,All,115,737,0.1560379919
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Hispanic,All,All,All,All,89,654,0.1360856269
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,All,White,All,All,All,All,2819,19191,0.1468917722
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,Medicare & Medicaid,All,All,All,All,All,1226,7465,0.1642330877
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Alaska,Medicare Only,All,All,All,All,All,2554,18798,0.1358655176
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,Aged,All,All,47425,467587,0.1014249755
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,65-74,All,24832,231392,0.107315724
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,75-84,All,17225,174770,0.0985581049
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,85 and over,All,6031,67039,0.0899625591
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,All,58895,539442,0.1091776317
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,Rural,5463,63705,0.0857546503
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,All,Urban,53376,474819,0.1124133617
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,All,Less than 65,All,10807,66241,0.1631466916
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,Disabled,All,All,10334,62253,0.1660000321
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,All,ESRD,All,All,1136,9602,0.1183086857
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,Female,All,All,All,35501,305957,0.1160326451
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,All,Male,All,All,All,23394,233485,0.1001948733
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,American Indian / Alaska Native,All,All,All,All,1072,12773,0.0839270336
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Asian,All,All,All,All,765,7913,0.0966763554
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Black/African American,All,All,All,All,2552,18725,0.1362883845
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Hispanic,All,All,All,All,7643,69827,0.1094562275
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,All,White,All,All,All,All,45686,419238,0.1089739003
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,Medicare & Medicaid,All,All,All,All,All,14895,115992,0.1284140286
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arizona,Medicare Only,All,All,All,All,All,44000,423450,0.1039083717
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,Aged,All,All,13863,180769,0.0766890341
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,65-74,All,7154,91885,0.0778581923
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,75-84,All,4903,65659,0.0746736929
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,85 and over,All,1964,25772,0.076206736
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,All,19873,235887,0.0842479662
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,Rural,8754,104317,0.0839172906
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,All,Urban,11045,130299,0.0847665753
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,All,Less than 65,All,5852,52571,0.1113161249
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,Disabled,All,All,5731,50277,0.1139885037
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,All,ESRD,All,All,279,4841,0.0576327205
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,Female,All,All,All,12440,137335,0.090581425
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,All,Male,All,All,All,7433,98552,0.0754221122
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,American Indian / Alaska Native,All,All,All,All,98,993,0.0986908359
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Asian,All,All,All,All,68,1033,0.0658276864
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Black/African American,All,All,All,All,2479,32332,0.0766732649
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Hispanic,All,All,All,All,268,3423,0.0782938942
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,All,White,All,All,All,All,16771,195929,0.0855973337
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,Medicare & Medicaid,All,All,All,All,All,6833,68366,0.0999473422
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Arkansas,Medicare Only,All,All,All,All,All,13040,167521,0.0778409871
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,Aged,All,All,412623,1884716,0.2189311281
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,65-74,All,206413,910947,0.2265916678
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,75-84,All,148208,683152,0.2169473265
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,85 and over,All,64047,326738,0.1960194407
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,All,473547,2153466,0.2198999195
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,Rural,24021,149559,0.1606121999
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,All,Urban,449414,2003231,0.2243445713
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,All,Less than 65,All,54879,232629,0.2359078189
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,Disabled,All,All,51750,211346,0.2448591409
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,All,ESRD,All,All,9174,57404,0.1598146471
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,Female,All,All,All,282295,1222649,0.2308880145
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,All,Male,All,All,All,191252,930817,0.2054668103
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,American Indian / Alaska Native,All,All,All,All,1395,6752,0.2066054502
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Asian,All,All,All,All,44095,232837,0.1893814127
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Black/African American,All,All,All,All,37856,137731,0.2748546079
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Hispanic,All,All,All,All,94348,456481,0.2066854918
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,All,White,All,All,All,All,280589,1252572,0.2240102765
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,Medicare & Medicaid,All,All,All,All,All,124655,638850,0.195124051
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,California,Medicare Only,All,All,All,All,All,348892,1514616,0.230350135
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,Aged,All,All,40423,261143,0.1547925849
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,65-74,All,21571,133219,0.1619213476
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,75-84,All,13462,90176,0.149285841
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,85 and over,All,5791,40421,0.1432671136
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,All,48923,299440,0.1633816457
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,Rural,5696,47133,0.120849511
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,All,Urban,43214,252199,0.1713488158
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,All,Less than 65,All,8099,35624,0.2273467325
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,Disabled,All,All,7843,33856,0.2316576087
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,All,ESRD,All,All,657,4441,0.1479396532
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,Female,All,All,All,29343,171903,0.1706951013
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,All,Male,All,All,All,19580,127537,0.1535240754
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,American Indian / Alaska Native,All,All,All,All,138,857,0.1610268378
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Asian,All,All,All,All,674,4513,0.1493463328
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Black/African American,All,All,All,All,1947,10059,0.1935580078
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Hispanic,All,All,All,All,4917,30161,0.1630250986
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,All,White,All,All,All,All,39887,245716,0.1623296814
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,Medicare & Medicaid,All,All,All,All,All,10734,57888,0.1854270315
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Colorado,Medicare Only,All,All,All,All,All,38189,241552,0.1580984633
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,Aged,All,All,34856,227806,0.1530073835
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,65-74,All,17564,102976,0.1705640149
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,75-84,All,12385,82131,0.1507956801
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,85 and over,All,5255,45412,0.1157183123
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,All,44668,265089,0.1685018994
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,Rural,1603,10623,0.1508989928
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,All,Urban,43058,254425,0.1692365137
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,All,Less than 65,All,9464,34570,0.2737633787
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,Disabled,All,All,9211,32970,0.2793751896
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,All,ESRD,All,All,601,4313,0.1393461628
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,Female,All,All,All,27335,153955,0.177551882
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,All,Male,All,All,All,17333,111134,0.1559648712
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,American Indian / Alaska Native,All,All,All,All,40,207,0.193236715
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Asian,All,All,All,All,586,3836,0.1527632951
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Black/African American,All,All,All,All,3798,21106,0.1799488297
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Hispanic,All,All,All,All,3913,19855,0.1970788215
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,All,White,All,All,All,All,34804,211081,0.1648845704
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,Medicare & Medicaid,All,All,All,All,All,17917,94779,0.1890397662
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Connecticut,Medicare Only,All,All,All,All,All,26751,170310,0.1570723974
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,Aged,All,All,9760,72565,0.1345001034
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,65-74,All,5436,37129,0.1464084678
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,75-84,All,3337,26022,0.1282376451
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,85 and over,All,1121,10454,0.1072316817
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,All,12171,85217,0.142823615
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,Rural,3674,25078,0.1465029109
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,All,Urban,8494,60112,0.1413029013
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,All,Less than 65,All,2277,11612,0.1960902515
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,Disabled,All,All,2207,10914,0.2022173355
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,All,ESRD,All,All,204,1738,0.1173762946
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,Female,All,All,All,7280,48524,0.1500288517
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,All,Male,All,All,All,4891,36693,0.1332951789
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,American Indian / Alaska Native,All,All,All,All,,49,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Asian,All,All,All,All,147,1052,0.1397338403
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Black/African American,All,All,All,All,2115,14899,0.141955836
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Hispanic,All,All,All,All,370,2164,0.1709796673
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,All,White,All,All,All,All,9264,65005,0.1425121145
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,Medicare & Medicaid,All,All,All,All,All,2435,16876,0.1442877459
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Delaware,Medicare Only,All,All,All,All,All,9736,68341,0.1424620652
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,Aged,All,All,3732,24373,0.153120256
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,65-74,All,1857,11989,0.1548919843
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,75-84,All,1327,8856,0.1498419151
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,85 and over,All,611,4387,0.1392751311
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,All,4582,30679,0.1493529776
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,Rural,0,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,All,Urban,4581,30673,0.1493495908
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,All,Less than 65,All,787,5447,0.1444832018
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,Disabled,All,All,743,4786,0.155244463
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,All,ESRD,All,All,107,1520,0.0703947368
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,Female,All,All,All,3002,18651,0.1609565171
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,All,Male,All,All,All,1580,12028,0.1313601596
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,American Indian / Alaska Native,All,All,All,All,0,12,0
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Asian,All,All,All,All,67,388,0.1726804124
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Black/African American,All,All,All,All,2935,20827,0.1409228405
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Hispanic,All,All,All,All,168,1004,0.1673306773
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,All,White,All,All,All,All,1283,7695,0.1667316439
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,Medicare & Medicaid,All,All,All,All,All,2034,15870,0.1281663516
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,District Of Columbia,Medicare Only,All,All,All,All,All,2548,14809,0.1720575326
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,Aged,All,All,169991,1776448,0.0956915148
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,65-74,All,85102,842541,0.1010063605
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,75-84,All,62093,663202,0.0936260747
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,85 and over,All,24725,290404,0.0851400118
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,All,205500,2043035,0.1005856483
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,Rural,4589,61904,0.0741309124
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,All,Urban,200643,1977322,0.1014720921
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,All,Less than 65,All,33580,246888,0.136013091
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,Disabled,All,All,32364,234120,0.1382368016
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,All,ESRD,All,All,3145,32467,0.0968675886
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,Female,All,All,All,123464,1154771,0.1069164362
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,All,Male,All,All,All,82036,888264,0.0923554259
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,American Indian / Alaska Native,All,All,All,All,146,1430,0.1020979021
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Asian,All,All,All,All,2269,24409,0.0929575157
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Black/African American,All,All,All,All,19428,210483,0.0923019911
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Hispanic,All,All,All,All,47235,323610,0.1459627329
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,Other/Unknown,All,All,All,All,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,All,White,All,All,All,All,132147,1440585,0.0917314841
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,Medicare & Medicaid,All,All,All,All,All,62007,499144,0.1242266761
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Florida,Medicare Only,All,All,All,All,All,143493,1543891,0.0929424422
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,Aged,All,All,45363,556903,0.081455837
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,65-74,All,25603,298457,0.0857845519
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,75-84,All,15607,198406,0.0786619356
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,85 and over,All,4895,71222,0.0687287636
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,All,58662,686195,0.0854888188
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,Rural,10516,148758,0.0706919964
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,Unknown,,,
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,All,Urban,48112,536843,0.0896202428
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,All,Less than 65,All,12557,118110,0.106316146
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,Disabled,All,All,11839,107813,0.1098105052
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,All,ESRD,All,All,1460,21479,0.0679733693
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,Female,All,All,All,36830,401161,0.0918085258
Pandemic (March 2020-February 2021),All Telemedicine,2020,03,Georgia,All,All,Male,All,All,All,21832,285034,0.0765943712
